City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
284,Marienburg,PL,69.46,broken clouds,54.0359,19.0266,Hotel Centrum Malbork
285,Pemangkat,ID,78.62,overcast clouds,1.1667,108.9667,Ramah Kost KITA
286,Xiashi,CN,78.82,overcast clouds,30.5363,120.6864,皮都锦江大酒店
287,Zhangye,CN,71.85,overcast clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
288,Poum,NC,70.79,overcast clouds,-20.2333,164.0167,Gîte kajeon
292,Santo Amaro Da Imperatriz,BR,69.76,broken clouds,-27.6881,-48.7786,BBS Comércio de Produtos Agropecuários.
294,Souillac,MU,68.38,light intensity shower rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
297,Prado,BR,70.11,few clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
299,Hegra,NO,69.71,clear sky,63.4644,11.114,Hembre Gård
302,Vao,NC,68.07,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
310,Orbetello,IT,77.02,overcast clouds,42.4408,11.2196,Argentario Golf Resort & Spa
311,Jiupu,CN,78.71,broken clouds,41.0667,122.95,Longshen Huacheng Business Hotel
314,Fort Wellington,GY,78.1,few clouds,6.4,-57.6,TE'AMO Entertainment Park
316,Agvali,RU,65.14,broken clouds,42.5385,46.1197,"Ooo Mtts ""Gornyye Vershiny"""
318,Samarai,PG,78.49,overcast clouds,-10.6167,150.6667,Nuli Sapi
323,Tommot,RU,66.2,broken clouds,58.9564,126.2925,Gostinitsa Tommot
324,Hervey Bay,AU,66.04,clear sky,-25.2986,152.8535,Shelly Bay Resort
325,Jiuquan,CN,75.78,overcast clouds,39.7432,98.5174,Jiuquan Hotel
329,Hasaki,JP,72.28,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
332,Lompoc,US,77.77,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
339,Varhaug,NO,65.86,light rain,58.6147,5.6457,Jonas Bue
340,Martapura,ID,73.49,clear sky,-3.4167,114.85,Montana Hotel Syariah
