City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
273,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,67.12,51,98,14.09,overcast clouds
274,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,78,0,12.66,clear sky
275,San Luis,AR,-33.295,-66.3356,47.28,52,28,11.07,scattered clouds
276,Port Hedland,AU,-20.3167,118.5667,60.85,100,66,5.75,broken clouds
277,Kruisfontein,ZA,-34.0033,24.7314,65.88,27,68,15.08,broken clouds
278,Champerico,GT,14.3,-91.9167,93.74,69,87,4.43,overcast clouds
279,Mahajanga,MG,-15.7167,46.3167,68.02,64,20,4.61,few clouds
280,Marsh Harbour,BS,26.5412,-77.0636,83.73,72,7,11.45,clear sky
281,Zhuhai,CN,22.2769,113.5678,88.05,84,0,3.44,clear sky
282,Chowchilla,US,37.123,-120.2602,103.03,11,40,10.38,scattered clouds
283,Gushikawa,JP,26.3544,127.8686,81.63,94,75,12.66,broken clouds
284,Marienburg,PL,54.0359,19.0266,69.46,96,83,5.23,broken clouds
285,Pemangkat,ID,1.1667,108.9667,78.62,89,86,6.46,overcast clouds
286,Xiashi,CN,30.5363,120.6864,78.82,95,100,16.87,overcast clouds
287,Zhangye,CN,38.9342,100.4517,71.85,36,100,11.25,overcast clouds
288,Poum,NC,-20.2333,164.0167,70.79,69,100,8.97,overcast clouds
289,Henties Bay,NA,-22.116,14.2845,69.85,58,0,1.63,clear sky
290,Hofn,IS,64.2539,-15.2082,52.38,81,96,7.23,overcast clouds
291,Narsaq,GL,60.9167,-46.05,53.62,72,20,1.79,few clouds
292,Santo Amaro Da Imperatriz,BR,-27.6881,-48.7786,69.76,71,72,3.89,broken clouds
293,Quthing,LS,-30.4,27.7003,37.22,34,51,2.44,broken clouds
294,Souillac,MU,-20.5167,57.5167,68.38,94,75,11.5,light intensity shower rain
295,Winnemucca,US,40.973,-117.7357,97.11,23,90,23.02,overcast clouds
296,Ahipara,NZ,-35.1667,173.1667,58.26,68,15,17.0,few clouds
297,Prado,BR,-17.3411,-39.2208,70.11,85,12,5.32,few clouds
298,Tamiahua,MX,21.2667,-97.45,85.59,59,0,9.35,clear sky
299,Hegra,NO,63.4644,11.114,69.71,49,0,9.22,clear sky
300,Ximei,CN,24.9639,118.3794,83.93,73,96,2.04,overcast clouds
301,Tocopilla,CL,-22.092,-70.1979,60.89,76,19,11.39,few clouds
302,Vao,NC,-22.6667,167.4833,68.07,60,100,16.71,overcast clouds
303,Goderich,CA,43.7501,-81.7165,82.04,53,0,3.44,clear sky
304,Da Lat,VN,11.9465,108.4419,62.4,95,99,6.89,overcast clouds
305,Belgrade,RS,44.804,20.4651,80.26,61,0,4.61,clear sky
306,Makakilo City,US,21.3469,-158.0858,82.72,61,75,10.36,broken clouds
307,Kahului,US,20.8947,-156.47,87.06,82,58,11.99,broken clouds
308,Pacific Grove,US,36.6177,-121.9166,92.28,81,20,4.0,few clouds
309,Uray,RU,60.1247,64.7758,51.67,83,45,6.98,scattered clouds
310,Orbetello,IT,42.4408,11.2196,77.02,78,100,11.5,overcast clouds
311,Jiupu,CN,41.0667,122.95,78.71,67,58,2.73,broken clouds
312,Kysyl-Syr,RU,63.8986,122.7617,70.86,54,18,7.83,few clouds
313,Sur,OM,22.5667,59.5289,91.58,53,78,13.87,broken clouds
314,Fort Wellington,GY,6.4,-57.6,78.1,81,14,6.4,few clouds
315,Magdalena,PH,14.1999,121.429,83.52,85,90,8.52,overcast clouds
316,Agvali,RU,42.5385,46.1197,65.14,93,66,3.42,broken clouds
317,Kavieng,PG,-2.5744,150.7967,83.66,69,42,7.54,scattered clouds
318,Samarai,PG,-10.6167,150.6667,78.49,87,100,17.54,overcast clouds
319,Savannah Bight,HN,16.45,-85.85,87.85,72,24,14.03,few clouds
320,Moissala,TD,8.3404,17.7663,70.97,97,100,2.8,light rain
321,Chillan,CL,-36.6066,-72.1034,48.52,71,0,10.36,clear sky
322,Port Augusta,AU,-32.5,137.7667,60.71,42,16,24.4,few clouds
323,Tommot,RU,58.9564,126.2925,66.2,77,83,3.49,broken clouds
324,Hervey Bay,AU,-25.2986,152.8535,66.04,67,0,6.2,clear sky
325,Jiuquan,CN,39.7432,98.5174,75.78,24,100,12.55,overcast clouds
326,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,76.84,89,94,2.82,overcast clouds
327,Zyryanka,RU,65.75,150.85,54.84,47,69,16.28,broken clouds
328,Pendleton,US,45.6721,-118.7886,92.95,27,100,1.99,overcast clouds
329,Hasaki,JP,35.7333,140.8333,72.28,91,100,16.24,overcast clouds
330,Puerto Madryn,AR,-42.7692,-65.0385,43.18,59,98,26.96,overcast clouds
331,Tandil,AR,-37.3217,-59.1332,42.31,53,34,4.0,scattered clouds
332,Lompoc,US,34.6391,-120.4579,77.77,76,75,8.05,mist
333,Buala,SB,-8.145,159.5921,81.27,81,67,8.34,moderate rain
334,Castanos,MX,26.7833,-101.4167,95.56,21,27,14.05,scattered clouds
335,Alofi,NU,-19.0595,-169.9187,80.49,74,40,3.44,scattered clouds
336,Palmer,US,42.1584,-72.3287,83.28,50,35,6.67,scattered clouds
337,Bahia Honda,CU,22.9036,-83.1592,81.86,75,68,2.33,broken clouds
338,Ilulissat,GL,69.2167,-51.1,46.31,93,100,9.22,overcast clouds
339,Varhaug,NO,58.6147,5.6457,65.86,89,100,11.07,light rain
340,Martapura,ID,-3.4167,114.85,73.49,94,7,1.14,clear sky
341,Rocha,UY,-34.4833,-54.3333,46.22,85,11,7.85,few clouds
342,Katherine,AU,-14.4667,132.2667,64.72,68,92,3.44,overcast clouds
343,Ust-Omchug,RU,61.15,149.6333,51.91,83,99,4.65,overcast clouds
344,Wilmington,US,34.2257,-77.9447,86.95,81,53,4.0,broken clouds
345,Faanui,PF,-16.4833,-151.75,79.16,73,63,12.28,light rain
346,Dwarka,IN,22.2394,68.9678,82.36,84,100,20.94,overcast clouds
